Rank,Name,Gross Income,Audience Score,Critics Score,Director,Distributor,Release date
187,Madagascar: Escape 2 Africa,"$599,680,774",N/A,N/A,N/A,N/A,N/A
188,Casino Royale,"$594,420,216",90%,94%,Martin Campbell,Sony Pictures Entertainment,"Nov 17, 2006, "
189,Quantum of Solace,"$591,692,078",58%,64%,Marc Forster,Metro-Goldwyn-Mayer,"Nov 14, 2008, "
190,Men in Black,"$587,790,539",80%,91%,Barry Sonnenfeld,Columbia Pictures,"Jul 4, 1997, "
191,The Hangover Part II,"$586,764,305",52%,34%,Todd Phillips,Warner Bros. Pictures,"May 26, 2011, "
192,I am Legend,"$585,532,684",68%,68%,Francis Lawrence,Warner Bros.,"Dec 14, 2007, "
193,Iron Man,"$585,171,547",91%,94%,Jon Favreau,Paramount Pictures,"May 2, 2008, "
194,Mamma Mia!,"$584,481,736",N/A,N/A,N/A,N/A,N/A
195,Tangled,"$582,440,151",87%,89%,"Nathan Greno, Byron Howard",Walt Disney,"Nov 24, 2010, "
196,Night at the Museum,"$579,446,407",67%,42%,Shawn Levy,20th Century Fox,"Dec 22, 2006, "
197,Ready Player One,"$579,055,653",77%,72%,Steven Spielberg,Warner Bros. Pictures,"Mar 29, 2018, "
198,The Croods,"$573,068,425",77%,72%,"Christopher Sanders, Kirk DeMicco",20th Century Fox,"Mar 22, 2013, "
199,Fifty Shades of Grey,"$570,794,950",41%,25%,Sam Taylor-Johnson,Focus Features,"Feb 13, 2015, "
200,The Little Mermaid,"$569,626,289",54%,,"Masakazu Higuchi, Chinami Namba",Focus Features,"Feb 13, 2015, "
201,Godzilla x Kong: The New Empire,"$568,721,707",91%,54%,Adam Wingard,Warner Bros. Pictures,"Mar 29, 2024, "
202,Mission: Impossible Dead Reckoning Pa…,"$566,644,143",N/A,N/A,N/A,N/A,N/A
203,The Smurfs,"$563,749,323",43%,21%,Raja Gosnell,Sony Pictures,"Jul 29, 2011, "
204,The Wandering Earth 2 (流浪地球2),"$562,688,972",N/A,N/A,N/A,N/A,N/A
205,Kong: Skull Island,"$561,072,059",70%,75%,Jordan Vogt-Roberts,Warner Bros. Pictures,"Mar 10, 2017, "
206,"Monsters, Inc.","$560,483,719",N/A,N/A,N/A,N/A,N/A
207,Cars 2,"$560,155,383",N/A,N/A,N/A,N/A,N/A
208,Madagascar,"$556,559,566",67%,55%,"Eric Darnell, Tom McGrath",DreamWorks SKG,"May 27, 2005, "
209,Ted,"$556,016,627",,,Gary Ellenberg,DreamWorks SKG,"May 27, 2005, "
210,The Day After Tomorrow,"$555,840,117",N/A,N/A,N/A,N/A,N/A
211,Puss in Boots,"$554,987,477",,,Karthik Chandan,N/A,N/A
212,Brave,"$554,606,532",75%,79%,"Mark Andrews, Brenda Chapman","Walt Disney,, Pixar Animation Studios","Jun 22, 2012, "
213,Armageddon,"$554,600,000",73%,43%,Michael Bay,"Buena Vista Pictures,, Touchstone Pictures,, Criterion Collection,, Touchstone Home Video","Jul 1, 1998, Original"
214,King Kong,"$550,517,357",50%,84%,Peter Jackson,Universal Pictures,"Dec 14, 2005, "
215,Mission: Impossible 2,"$549,588,516",N/A,N/A,N/A,N/A,N/A
216,Star Wars Ep. V: The Empire Strikes Back,"$549,001,086",N/A,N/A,N/A,N/A,N/A
217,American Sniper,"$547,326,372",84%,72%,Clint Eastwood,Warner Bros. Pictures,"Jan 16, 2015, "
218,Kung Fu Panda 4,"$545,985,797",N/A,N/A,N/A,N/A,N/A
219,Despicable Me,"$544,707,293",83%,80%,"Chris Renaud, Pierre Coffin",Universal Pictures,"Jul 9, 2010, "
220,Tang Ren Jie Tan An 2,"$544,068,574",N/A,N/A,N/A,N/A,N/A
221,Hong Hai Xing Dong,"$543,391,535",N/A,N/A,N/A,N/A,N/A
